DrainI(1),DrainV(1),GateV(1),DrainI(2),DrainV(2),GateV(2),DrainI(3),DrainV(3),GateV(3),DrainI(4),DrainV(4),GateV(4),DrainI(5),DrainV(5),GateV(5),DrainI(6),DrainV(6),GateV(6),DrainI(7),DrainV(7),GateV(7),DrainI(8),DrainV(8),GateV(8),DrainI(9),DrainV(9),GateV(9),DrainI(10),DrainV(10),GateV(10),DrainI(11),DrainV(11),GateV(11)
747.5923E-12,1.8500E+0,0.0000E+0,-40.6232E-12,1.8500E+0,500.0000E-3,20.8866E-9,1.8500E+0,1.0000E+0,19.3880E-6,1.8500E+0,1.5000E+0,231.0555E-6,1.8500E+0,2.0000E+0,690.7047E-6,1.8500E+0,2.5000E+0,1.3554E-3,1.8500E+0,3.0000E+0,2.1811E-3,1.8500E+0,3.5000E+0,3.1257E-3,1.8500E+0,4.0000E+0,4.1289E-3,1.8500E+0,4.5000E+0,5.1121E-3,1.8500E+0,5.0000E+0
721.0246E-12,1.9000E+0,0.0000E+0,-48.1486E-12,1.9000E+0,500.0000E-3,20.8915E-9,1.9000E+0,1.0000E+0,19.4014E-6,1.9000E+0,1.5000E+0,231.2110E-6,1.9000E+0,2.0000E+0,691.3029E-6,1.9000E+0,2.5000E+0,1.3568E-3,1.9000E+0,3.0000E+0,2.1845E-3,1.9000E+0,3.5000E+0,3.1339E-3,1.9000E+0,4.0000E+0,4.1498E-3,1.9000E+0,4.5000E+0,5.1555E-3,1.9000E+0,5.0000E+0
706.5790E-12,1.9500E+0,0.0000E+0,-44.5122E-12,1.9500E+0,500.0000E-3,20.9099E-9,1.9500E+0,1.0000E+0,19.4116E-6,1.9500E+0,1.5000E+0,231.3584E-6,1.9500E+0,2.0000E+0,691.8046E-6,1.9500E+0,2.5000E+0,1.3582E-3,1.9500E+0,3.0000E+0,2.1876E-3,1.9500E+0,3.5000E+0,3.1414E-3,1.9500E+0,4.0000E+0,4.1683E-3,1.9500E+0,4.5000E+0,5.1947E-3,1.9500E+0,5.0000E+0
684.4560E-12,2.0000E+0,0.0000E+0,-44.6637E-12,2.0000E+0,500.0000E-3,20.9149E-9,2.0000E+0,1.0000E+0,19.4199E-6,2.0000E+0,1.5000E+0,231.5047E-6,2.0000E+0,2.0000E+0,692.3406E-6,2.0000E+0,2.5000E+0,1.3595E-3,2.0000E+0,3.0000E+0,2.1906E-3,2.0000E+0,3.5000E+0,3.1481E-3,2.0000E+0,4.0000E+0,4.1846E-3,2.0000E+0,4.5000E+0,5.2305E-3,2.0000E+0,5.0000E+0
662.4341E-12,2.0500E+0,0.0000E+0,-47.9466E-12,2.0500E+0,500.0000E-3,20.9206E-9,2.0500E+0,1.0000E+0,19.4334E-6,2.0500E+0,1.5000E+0,231.6591E-6,2.0500E+0,2.0000E+0,692.9024E-6,2.0500E+0,2.5000E+0,1.3608E-3,2.0500E+0,3.0000E+0,2.1933E-3,2.0500E+0,3.5000E+0,3.1541E-3,2.0500E+0,4.0000E+0,4.1991E-3,2.0500E+0,4.5000E+0,5.2625E-3,2.0500E+0,5.0000E+0
646.8773E-12,2.1000E+0,0.0000E+0,-45.0172E-12,2.1000E+0,500.0000E-3,20.9324E-9,2.1000E+0,1.0000E+0,19.4470E-6,2.1000E+0,1.5000E+0,231.8263E-6,2.1000E+0,2.0000E+0,693.3935E-6,2.1000E+0,2.5000E+0,1.3620E-3,2.1000E+0,3.0000E+0,2.1959E-3,2.1000E+0,3.5000E+0,3.1597E-3,2.1000E+0,4.0000E+0,4.2121E-3,2.1000E+0,4.5000E+0,5.2914E-3,2.1000E+0,5.0000E+0
635.4118E-12,2.1500E+0,0.0000E+0,-40.5222E-12,2.1500E+0,500.0000E-3,20.9326E-9,2.1500E+0,1.0000E+0,19.4569E-6,2.1500E+0,1.5000E+0,231.9645E-6,2.1500E+0,2.0000E+0,693.9123E-6,2.1500E+0,2.5000E+0,1.3632E-3,2.1500E+0,3.0000E+0,2.1984E-3,2.1500E+0,3.5000E+0,3.1649E-3,2.1500E+0,4.0000E+0,4.2237E-3,2.1500E+0,4.5000E+0,5.3176E-3,2.1500E+0,5.0000E+0
609.7027E-12,2.2000E+0,0.0000E+0,-42.0374E-12,2.2000E+0,500.0000E-3,20.9473E-9,2.2000E+0,1.0000E+0,19.4703E-6,2.2000E+0,1.5000E+0,232.1322E-6,2.2000E+0,2.0000E+0,694.4055E-6,2.2000E+0,2.5000E+0,1.3643E-3,2.2000E+0,3.0000E+0,2.2007E-3,2.2000E+0,3.5000E+0,3.1697E-3,2.2000E+0,4.0000E+0,4.2342E-3,2.2000E+0,4.5000E+0,5.3410E-3,2.2000E+0,5.0000E+0
588.6404E-12,2.2500E+0,0.0000E+0,-41.8858E-12,2.2500E+0,500.0000E-3,20.9606E-9,2.2500E+0,1.0000E+0,19.4829E-6,2.2500E+0,1.5000E+0,232.2608E-6,2.2500E+0,2.0000E+0,694.8785E-6,2.2500E+0,2.5000E+0,1.3655E-3,2.2500E+0,3.0000E+0,2.2029E-3,2.2500E+0,3.5000E+0,3.1741E-3,2.2500E+0,4.0000E+0,4.2437E-3,2.2500E+0,4.5000E+0,5.3620E-3,2.2500E+0,5.0000E+0
575.2556E-12,2.3000E+0,0.0000E+0,-45.6739E-12,2.3000E+0,500.0000E-3,20.9732E-9,2.3000E+0,1.0000E+0,19.4975E-6,2.3000E+0,1.5000E+0,232.4054E-6,2.3000E+0,2.0000E+0,695.3513E-6,2.3000E+0,2.5000E+0,1.3665E-3,2.3000E+0,3.0000E+0,2.2050E-3,2.3000E+0,3.5000E+0,3.1783E-3,2.3000E+0,4.0000E+0,4.2524E-3,2.3000E+0,4.5000E+0,5.3808E-3,2.3000E+0,5.0000E+0
551.5163E-12,2.3500E+0,0.0000E+0,-39.4110E-12,2.3500E+0,500.0000E-3,20.9844E-9,2.3500E+0,1.0000E+0,19.5070E-6,2.3500E+0,1.5000E+0,232.5284E-6,2.3500E+0,2.0000E+0,695.8091E-6,2.3500E+0,2.5000E+0,1.3676E-3,2.3500E+0,3.0000E+0,2.2070E-3,2.3500E+0,3.5000E+0,3.1822E-3,2.3500E+0,4.0000E+0,4.2601E-3,2.3500E+0,4.5000E+0,5.3977E-3,2.3500E+0,5.0000E+0
532.0703E-12,2.4000E+0,0.0000E+0,-43.5526E-12,2.4000E+0,500.0000E-3,20.9959E-9,2.4000E+0,1.0000E+0,19.5130E-6,2.4000E+0,1.5000E+0,232.6716E-6,2.4000E+0,2.0000E+0,696.2917E-6,2.4000E+0,2.5000E+0,1.3685E-3,2.4000E+0,3.0000E+0,2.2090E-3,2.4000E+0,3.5000E+0,3.1858E-3,2.4000E+0,4.0000E+0,4.2674E-3,2.4000E+0,4.5000E+0,5.4129E-3,2.4000E+0,5.0000E+0
